model,ad_title,year,km,color,price,ad_date,location
"
                        1.0 TSI Highline ","















    sahibinden 2017 polo
","
                    2017","
                    26.000","
                    Beyaz","
 133.000 TL","
24 Nisan

2019
","
                        AğrıMerkez"
"
                        1.0 TSI Highline ","















    GARANTİLİ 2018 POLO HIGHLINE
","
                    2018","
                    11.000","
                    Bej","
 135.000 TL","
02 Eylül

2019
","
                        İstanbulKağıthane"
"
                        1.6","















    VW POLO 1.6 KLİMALI DERİ DÖŞEME DÖNEMİNİN FULL U
","
                    1997","
                    260","
                    Siyah","
 32.500 TL","
06 Eylül

2019
","
                        AnkaraAltındağ"
"
                        1.6 TDi Comfortline","















    İLK SAHİBİNDEN TEMİZ POLO 1.6 TDI 90HP
","
                    2013","
                    42.500","
                    Beyaz","
 88.750 TL","
17 Eylül

2019
","
                        AnkaraÇankaya"
"
                        1.4 TSI GTi","















    2013 CTH 45000KM KIRMIZI POLO GTİ
","
                    2013","
                    45.000","
                    Kırmızı","
 130.000 TL","
03 Ekim

2019
","
                        SamsunAtakum"
"
                        1.4 TDi Trendline","















    İlk Sahibinden Kazasız Hasarsız VW POLO 43.000KM
","
                    2016","
                    43.000","
                    Beyaz","
 90.500 TL","
09 Kasım

2019
","
                        İstanbulMaltepe"
"
                        1.0 TSI Highline ","















    Highline Seramik kaplı 10 bin km Dsg Polo
","
                    2018","
                    10.000","
                    Kırmızı","
 145.500 TL","
11 Kasım

2019
","
                        OrduÜnye"
"
                        1.2 TSI Comfortline","















    27000 km Temiz bakımlı Polo
","
                    2017","
                    27.000","
                    Beyaz","
 78.000 TL","
20 Kasım

2019
","
                        AntalyaMuratpaşa"
"
                        1.4 Basicline","















    Tertemiz bakımlı POLO İlk gelen alır
","
                    2004","
                    201","
                    Mavi","
 44.000 TL","
24 Kasım

2019
","
                        ZonguldakKozlu"
"
                        1.0 TSI Comfortline","















    SAHİBİNDEN BEYAZ HATASIZ OTOMATİK POLO
","
                    2018","
                    26.000","
                    Beyaz","
 134.000 TL","
24 Kasım

2019
","
                        AmasyaMerkez"
"
                        1.2 TSI Comfortline","















    SAHİBİNDEN SATILIK 2015 VOLKSWAGEN 1.2 TSİ COMFORTLİNE POLO
","
                    2015","
                    46.000","
                    Kırmızı","
 75.000 TL","
25 Kasım

2019
","
                        GaziantepŞehitkamil"
"
                        1.2 TSI Comfortline","















    İlk sahibinden 28.170 km servis bakımlı
","
                    2015","
                    28.170","
                    Beyaz","
 97.000 TL","
28 Kasım

2019
","
                        İstanbulKüçükçekmece"
"
                        1.4 TDi Trendline","















    VOLKWAGEN POLO 1.4 TDI YENİ KASA MODELİ
","
                    2005","
                    217","
                    Beyaz","
 34.750 TL","
01 Aralık

2019
","
                        AntalyaKonyaaltı"
"
                        1.9 TDi","















    Sahibinden satılık
","
                    1999","
                    225","
                    Kırmızı","
 22.000 TL","
05 Aralık

2019
","
                        BursaNilüfer"
"
                        1.2 TSI Lounge","















    Hata,boya,k­aza,tramer yok
","
                    2015","
                    37.500","
                    Beyaz","
 93.900 TL","
07 Aralık

2019
","
                        TokatTurhal"
"
                        1.6","















    Sahibinden polo
","
                    1999","
                    300","
                    Kırmızı","
 23.500 TL","
19 Aralık

2019
","
                        MuşMerkez"
"
                        1.2 TSI Comfortline","















    2017 VW POLO 1.2 TSI COMFORTLİNE DSG OTOMATİK



","
                    2017","
                    27.000","
                    Füme","
 85.900 TL","
19 Aralık

2019
","
                        İstanbulBağcılar"
"
                        1.4 TDi Comfortline","















    Temiz Mavi boncuk
","
                    2004","
                    239","
                    Mavi","
 37.000 TL","
19 Aralık

2019
","
                        AntalyaManavgat"
"
                        1.6 TDi Comfortline","















    Aykan Adana'dan Polo 1.6 TDI SCR Comfortline DSG



","
                    2018","
                    29.663","
                    Beyaz","
 140.000 TL","
19 Aralık

2019
","
                        AdanaSeyhan"
"
                        1.0 TSI Comfortline","















    2018 COMFORTLINE 1.0 DSG HATASIZ-BOYASIZ-­TRAMERSİZ-12.800 KM!



","
                    2018","
                    12.800","
                    Kırmızı","
 132.000 TL","
19 Aralık

2019
","
                        AnkaraÇankaya"
"
                        1.0 TSI Comfortline","















    2019 Polo DSG Car Play Büyük Ekran Dijital Klima
","
                    2019","
                    4.400","
                    Beyaz","
 138.000 TL","
19 Aralık

2019
","
                        MersinMezitli"
"
                        1.6 Sportline Classic","















    aciilll satılık
","
                    1999","
                    270","
                    Mavi","
 21.000 TL","
19 Aralık

2019
","
                        KonyaSelçuklu"
"
                        1.0 TSI Comfortline","















    AYBAR OTOMOTİV VOLKSWAGEN POLO 1.0 TSİ COMFORT



","
                    2018","
                    28.000","
                    Bej","
 106.500 TL","
19 Aralık

2019
","
                        AntalyaMuratpaşa"
"
                        1.6 TDi Comfortline","















    Uygun polo 2018



","
                    2018","
                    20.000","
                    Beyaz","
 100.000 TL","
19 Aralık

2019
","
                        AntalyaKepez"
"
                        1.4 TDi Comfortline","















    İLK SAHİBİNDEN BAKIMLI TEMİZ GERİ GÖRÜŞ KAMERALI DİZEL POLO
","
                    2016","
                    39.500","
                    Gri","
 98.700 TL","
19 Aralık

2019
","
                        İstanbulBeylikdüzü"
"
                        1.4 Highline","















    memurdan masrafsız 2001 polo
","
                    2001","
                    235","
                    Mavi","
 32.000 TL","
20 Aralık

2019
","
                        İstanbulSancaktepe"
"
                        1.4 TDi Comfortline","















    130 FAVORİ SON 3 GÜN!!!
","
                    2015","
                    42.000","
                    Beyaz","
 91.000 TL","
20 Aralık

2019
","
                        İstanbulBeylikdüzü"
"
                        1.4 TDi Comfortline","















    2016 Volkswagen polo 1.4 TDİ DSG 42.000KM YETKİLİ SERVİS BAKIML



","
                    2016","
                    42.000","
                    Beyaz","
 101.900 TL","
20 Aralık

2019
","
                        İstanbulEyüpsultan"
"
                        1.6","















    son 3 gün acil
","
                    1998","
                    244","
                    Kırmızı","
 23.300 TL","
20 Aralık

2019
","
                        İstanbulAtaşehir"
"
                        1.6 TDi Trendline","















    VOSMER BORNOVA 2018 POLO 1.6TDI 80HP TRENDLINE MANUEL



","
                    2018","
                    22.612","
                    Gri","
 109.000 TL","
20 Aralık

2019
","
                        İzmirBornova"
"
                        1.0 Trendline","















    Volkswagen polo 1.0 siyah Trendline hasarsız
","
                    2018","
                    37.500","
                    Siyah","
 91.500 TL","
20 Aralık

2019
","
                        İstanbulKartal"
"
                        1.6 TDi Trendline","















    Aykan Adana'dan VW Polo 1.6 TDI SCR Trendline



","
                    2018","
                    26.891","
                    Beyaz","
 108.000 TL","
20 Aralık

2019
","
                        AdanaSeyhan"
"
                        1.2 TSI Comfortline","















    Serkan Otomotiv 2017 Model Volkswagen Polo 1.2 TSİ Comfortline



","
                    2017","
                    17.800","
                    Mavi","
 97.500 TL","
20 Aralık

2019
","
                        MuğlaMilas"
"
                        1.4 TDi Comfortline","















    2016 VW POLO 1.4 TDİ 90 BG BMT.COMFORTLİNE DSG 49.000 KM HATASIZ



","
                    2016","
                    49.000","
                    Beyaz","
 107.750 TL","
20 Aralık

2019
","
                        İstanbulBağcılar"
"
                        1.0 TSI Comfortline","















    MD GLOBALDEN HATASIZ BOYASIZ 2019 ÇIKIŞLI SIFIR AYARINDA POLO



","
                    2018","
                    8.000","
                    Gri","
 134.000 TL","
20 Aralık

2019
","
                        KırıkkaleYahşihan"
"
                        1.6","















    1.6 100 beygir sanruflu polo
","
                    1998","
                    238","
                    Yeşil","
 21.000 TL","
20 Aralık

2019
","
                        İzmirKarabağlar"
"
                        1.0 TSI Highline ","















    MARKA OTO DAN 2017 MODEL POLO 1.0 TSI HİGHLİNE OTOMATİK 38.000KM



","
                    2017","
                    38.000","
                    Beyaz","
 117.950 TL","
20 Aralık

2019
","
                        İstanbulMaltepe"
"
                        1.0 TSI Highline ","















    AUTO KIRMIZI'DAN HATASIZ AKSESUARLI 2018 POLO HİGHLİNE CAM TVN



","
                    2018","
                    20.000","
                    Mavi","
 141.000 TL","
20 Aralık

2019
","
                        İstanbulBağcılar"
"
                        1.4 Comfortline","















    2010 MODEL POLO TAM OTOMATİK ORJİNAL 45 BİN KMDE



","
                    2010","
                    45.000","
                    Kırmızı","
 82.000 TL","
20 Aralık

2019
","
                        AnkaraAkyurt"
"
                        1.0 Trendline","















    TALHA'DAN 2017 MODEL POLO 1.0 TRENDLINE SADECE 40.000 KM DE



","
                    2017","
                    40.000","
                    Beyaz","
 71.000 TL","
20 Aralık

2019
","
                        MuğlaFethiye"
"
                        1.0 TSI Highline ","















    2019 cam tavan hayalet ekran 7000 km sifir highline SON 1 gün
","
                    2019","
                    7.800","
                    Mavi","
 158.400 TL","
20 Aralık

2019
","
                        AnkaraMamak"
"
                        1.6 TDi Trendline","















    Car Center dan 2018 Polo 1.6 TDI Manuel



","
                    2018","
                    43.000","
                    Beyaz","
 120.000 TL","
20 Aralık

2019
","
                        AksarayMerkez"
"
                        1.2 TSI Comfortline","















    CAM TAVAN OTOMATİK VİTES
","
                    2015","
                    50.000","
                    Beyaz","
 106.500 TL","
20 Aralık

2019
","
                        İstanbulKadıköy"
"
                        1.2 TSI Allstar","















    SAHİBİNDEN 2016 VW POLO 1.2 OTOMATİK
","
                    2016","
                    25.699","
                    Kırmızı","
 103.900 TL","
21 Aralık

2019
","
                        İstanbulAvcılar"
"
                        1.2 TSI Comfortline","















    BAYRAMOĞLUNDAN Hatasız dsg



","
                    2017","
                    44.000","
                    Kırmızı","
 104.000 TL","
21 Aralık

2019
","
                        İstanbulBahçelievler"
"
                        1.6 TDi Trendline","















    AYKAN ISOTO'dan VW Polo 1.6 TDI SCR Trendline



","
                    2018","
                    22.200","
                    Siyah","
 107.500 TL","
21 Aralık

2019
","
                        AdanaYüreğir"
"
                        1.0 TSI Highline ","















    2017 VOLKSWAGEN POLO 1.0 TSI HİGHLİNE DSG



","
                    2017","
                    24.000","
                    Beyaz","
 124.000 TL","
21 Aralık

2019
","
                        TekirdağÇorlu"
"
                        1.0 TSI Highline ","















    İlk Sahibinden Kazasız Boyasız Değişensiz Yetkili Servis Bakımlı
","
                    2017","
                    36.500","
                    Gümüş Gri","
 133.900 TL","
21 Aralık

2019
","
                        İstanbulEsenyurt"
"
                        1.6 TDi Comfortline","















    son 2 gün Orjinal Hatasız ilk günkü gibi sıfır kokusu icinde
","
                    2018","
                    19.750","
                    Beyaz","
 143.750 TL","
21 Aralık

2019
","
                        HatayAntakya"
"
                        1.2 TSI Comfortline","















    SAHİBİNDEN HATASIZ
","
                    2016","
                    44.000","
                    Beyaz","
 110.750 TL","
21 Aralık

2019
","
                        SakaryaAdapazarı"
"
                        1.4 TDi Comfortline","















    KAPLAN OTODAN BOYASIZ 1,4TDI POLO DSG



","
                    2017","
                    36.000","
                    Beyaz","
 122.500 TL","
21 Aralık

2019
","
                        KütahyaMerkez"
"
                        1.2 TSI Comfortline","















    ARACIMIZ BOLU'YA HAYIRLI OLSUN



","
                    2016","
                    29.000","
                    Beyaz","
 89.750 TL","
21 Aralık

2019
","
                        KütahyaMerkez"
"
                        1.4 TDi Trendline","















    askerden motor sorun yok şükür ama enjektör değişimi yapılacak
","
                    2008","
                    370","
                    Gri","
 33.000 TL","
21 Aralık

2019
","
                        KocaeliDerince"
"
                        1.6 TDi Comfortline","















    YENİ KASA HATASIZ POLO
","
                    2017","
                    35.000","
                    Beyaz","
 115.500 TL","
21 Aralık

2019
","
                        İzmirKarşıyaka"
"
                        1.4 TDi Comfortline","















    SAHİBİNDEN LANSMAN RENGİ CAM TAVAN 1.4 TDI COMFORTLİNE BMT DSG
","
                    2017","
                    44.653","
                    Mavi","
 131.500 TL","
21 Aralık

2019
","
                        BoluMerkez"
"
                        1.6 Classic","















    DEĞİŞEN BOYA HASAR YOK KLİMALI LPG İŞLİ 98 MODEL1.6CLASIC100luk
","
                    1997","
                    200","
                    Mavi","
 28.500 TL","
21 Aralık

2019
","
                        AnkaraÇankaya"
"
                        1.6 Classic","















    HATASIZ KAZASIZ DEĞIŞEN YOK HASAR KAYDI YOK BOYA YOK KLIMALI LPG
","
                    1997","
                    200","
                    Mavi","
 29.000 TL","
22 Aralık

2019
","
                        AnkaraÇankaya"
"
                        1.6 Classic","















    Aracım polo 1998 modeldir
","
                    1998","
                    30","
                    Kırmızı","
 26.500 TL","
22 Aralık

2019
","
                        KayseriMelikgazi"
"
                        1.4 TDi Comfortline","















    3 GÜNLÜK !!!!ŞOK!!!! FIYAT PAZARLIKSIZ
","
                    2017","
                    28.000","
                    Beyaz","
 80.000 TL","
22 Aralık

2019
","
                        İzmirÇiğli"
"
                        1.0 TSI Comfortline","















    UĞUR OTMOTİVDEN HATASIZ BOYASIZ POLO



","
                    2017","
                    33.000","
                    Beyaz","
 108.000 TL","
22 Aralık

2019
","
                        ErzurumYakutiye"
"
                        1.4 TDi Comfortline","















    HATASIZ BOYASIZ 2017 POLO KEYFI SATICI
","
                    2017","
                    48.000","
                    Beyaz","
 115.000 TL","
22 Aralık

2019
","
                        SamsunBafra"
"
                        1.4 TDi Comfortline","















    SAHİBİNDEN HATASIZ 2017 MODEL POLO 1.4 TDI COMFORTLINE
","
                    2017","
                    30.000","
                    Füme","
 135.900 TL","
22 Aralık

2019
","
                        KonyaMeram"
"
                        1.0 TSI Comfortline","















    LAVİN AUTO 2018 1.0 TSİ DSG COMFORTLİNE 30.000 km HIZ SABİTLEYİC



","
                    2018","
                    30.000","
                    Beyaz","
 127.000 TL","
22 Aralık

2019
","
                        DiyarbakırKayapınar"
"
                        1.0 TSI Comfortline","















    VW Yeni Polo - Resif Mavi - Acil Satılık
","
                    2018","
                    27.000","
                    Mavi","
 119.750 TL","
22 Aralık

2019
","
                        BursaOsmangazi"
