model,ad_title,year,km,color,price,ad_date,location,city
                        1.0 TSI Highline ,    sahibinden 2017 polo,2017,26000.0,                    Beyaz,133000.0,2019-04-24,                        AğrıMerkez,Ağrı
                        1.0 TSI Highline ,    GARANTİLİ 2018 POLO HIGHLINE,2018,11000.0,                    Bej,135000.0,2019-09-02,                        İstanbulKağıthane,İstanbul
                        1.6,    VW POLO 1.6 KLİMALI DERİ DÖŞEME DÖNEMİNİN FULL U,1997,260000.0,                    Siyah,32500.0,2019-09-06,                        AnkaraAltındağ,Ankara
                        1.6 TDi Comfortline,    İLK SAHİBİNDEN TEMİZ POLO 1.6 TDI 90HP,2013,42500.0,                    Beyaz,88750.0,2019-09-17,                        AnkaraÇankaya,Ankara
                        1.4 TSI GTi,    2013 CTH 45000KM KIRMIZI POLO GTİ,2013,45000.0,                    Kırmızı,130000.0,2019-10-03,                        SamsunAtakum,Samsun
                        1.4 TDi Trendline,    İlk Sahibinden Kazasız Hasarsız VW POLO 43.000KM,2016,43000.0,                    Beyaz,90500.0,2019-11-09,                        İstanbulMaltepe,İstanbul
                        1.0 TSI Highline ,    Highline Seramik kaplı 10 bin km Dsg Polo,2018,10000.0,                    Kırmızı,145500.0,2019-11-11,                        OrduÜnye,Ordu
                        1.2 TSI Comfortline,    27000 km Temiz bakımlı Polo,2017,27000.0,                    Beyaz,78000.0,2019-11-20,                        AntalyaMuratpaşa,Antalya
                        1.4 Basicline,    Tertemiz bakımlı POLO İlk gelen alır,2004,201000.0,                    Mavi,44000.0,2019-11-24,                        ZonguldakKozlu,Zonguldak
                        1.0 TSI Comfortline,    SAHİBİNDEN BEYAZ HATASIZ OTOMATİK POLO,2018,26000.0,                    Beyaz,134000.0,2019-11-24,                        AmasyaMerkez,Amasya
                        1.2 TSI Comfortline,    SAHİBİNDEN SATILIK 2015 VOLKSWAGEN 1.2 TSİ COMFORTLİNE POLO,2015,46000.0,                    Kırmızı,75000.0,2019-11-25,                        GaziantepŞehitkamil,Gaziantep
                        1.2 TSI Comfortline,    İlk sahibinden 28.170 km servis bakımlı,2015,28170.0,                    Beyaz,97000.0,2019-11-28,                        İstanbulKüçükçekmece,İstanbul
                        1.4 TDi Trendline,    VOLKWAGEN POLO 1.4 TDI YENİ KASA MODELİ,2005,217000.0,                    Beyaz,34750.0,2019-12-01,                        AntalyaKonyaaltı,Antalya
                        1.9 TDi,    Sahibinden satılık,1999,225000.0,                    Kırmızı,22000.0,2019-12-05,                        BursaNilüfer,Bursa
                        1.2 TSI Lounge,"    Hata,boya,k­aza,tramer yok",2015,37500.0,                    Beyaz,93900.0,2019-12-07,                        TokatTurhal,Tokat
                        1.6,    Sahibinden polo,1999,300000.0,                    Kırmızı,23500.0,2019-12-19,                        MuşMerkez,Muş
                        1.2 TSI Comfortline,    2017 VW POLO 1.2 TSI COMFORTLİNE DSG OTOMATİK,2017,27000.0,                    Füme,85900.0,2019-12-19,                        İstanbulBağcılar,İstanbul
                        1.4 TDi Comfortline,    Temiz Mavi boncuk,2004,239000.0,                    Mavi,37000.0,2019-12-19,                        AntalyaManavgat,Antalya
                        1.6 TDi Comfortline,    Aykan Adana'dan Polo 1.6 TDI SCR Comfortline DSG,2018,29663.0,                    Beyaz,140000.0,2019-12-19,                        AdanaSeyhan,Adana
                        1.0 TSI Comfortline,    2018 COMFORTLINE 1.0 DSG HATASIZ-BOYASIZ-­TRAMERSİZ-12.800 KM!,2018,12800.0,                    Kırmızı,132000.0,2019-12-19,                        AnkaraÇankaya,Ankara
                        1.0 TSI Comfortline,    2019 Polo DSG Car Play Büyük Ekran Dijital Klima,2019,4400.0,                    Beyaz,138000.0,2019-12-19,                        MersinMezitli,Mersin
                        1.6 Sportline Classic,    aciilll satılık,1999,270000.0,                    Mavi,21000.0,2019-12-19,                        KonyaSelçuklu,Konya
                        1.0 TSI Comfortline,    AYBAR OTOMOTİV VOLKSWAGEN POLO 1.0 TSİ COMFORT,2018,28000.0,                    Bej,106500.0,2019-12-19,                        AntalyaMuratpaşa,Antalya
                        1.6 TDi Comfortline,    Uygun polo 2018,2018,20000.0,                    Beyaz,100000.0,2019-12-19,                        AntalyaKepez,Antalya
                        1.4 TDi Comfortline,    İLK SAHİBİNDEN BAKIMLI TEMİZ GERİ GÖRÜŞ KAMERALI DİZEL POLO,2016,39500.0,                    Gri,98700.0,2019-12-19,                        İstanbulBeylikdüzü,İstanbul
                        1.4 Highline,    memurdan masrafsız 2001 polo,2001,235000.0,                    Mavi,32000.0,2019-12-20,                        İstanbulSancaktepe,İstanbul
                        1.4 TDi Comfortline,    130 FAVORİ SON 3 GÜN!!!,2015,42000.0,                    Beyaz,91000.0,2019-12-20,                        İstanbulBeylikdüzü,İstanbul
                        1.4 TDi Comfortline,    2016 Volkswagen polo 1.4 TDİ DSG 42.000KM YETKİLİ SERVİS BAKIML,2016,42000.0,                    Beyaz,101900.0,2019-12-20,                        İstanbulEyüpsultan,İstanbul
                        1.6,    son 3 gün acil,1998,244000.0,                    Kırmızı,23300.0,2019-12-20,                        İstanbulAtaşehir,İstanbul
                        1.6 TDi Trendline,    VOSMER BORNOVA 2018 POLO 1.6TDI 80HP TRENDLINE MANUEL,2018,22612.0,                    Gri,109000.0,2019-12-20,                        İzmirBornova,İzmir
                        1.0 Trendline,    Volkswagen polo 1.0 siyah Trendline hasarsız,2018,37500.0,                    Siyah,91500.0,2019-12-20,                        İstanbulKartal,İstanbul
